Name	1	2	3	4	5	6	7	8	9	10	11	12
NUCLEAR		4.000000	4.000000	4.000000	3.987436	4.000000	1.337610	1.380716	3.697828	2.345124	4.000000	4.000000	4.000000
CCGT		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CCGT_CCS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_US		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_IGCC		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_US_CCS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_IGCC_CCS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PV		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WIND		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HYDRO_DAM		2.028080	2.044240	1.519040	1.292800	1.712960	2.254320	2.165440	2.092720	2.327040	1.712960	1.753360	1.826080
NEW_HYDRO_DAM		0.110440	0.111320	0.082720	0.070400	0.093280	0.122760	0.117920	0.113960	0.126720	0.093280	0.095480	0.099440
HYDRO_RIVER		1.147600	1.007000	1.170400	1.656800	2.363600	2.910800	2.926000	2.709400	2.082400	1.428800	1.322400	1.299600
NEW_HYDRO_RIVER		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GEOTHERMAL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_GAS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_COGEN_WASTE		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_GAS		1.100000	1.100000	1.100000	0.845304	1.100000	0.845304	1.100000	1.100000	1.100000	1.025936	1.012404	1.100000
IND_BOILER_WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_OIL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_COAL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
IND_BOILER_WASTE		1.071404	1.071404	1.071404	1.159000	0.904304	1.159000	0.904304	0.904304	0.904304	1.145468	1.159000	1.071404
IND_DIRECT_ELEC		0.000000	0.000000	0.000000	0.167100	0.167100	0.167100	0.167100	0.167100	0.167100	0.000000	0.000000	0.000000
DHN_HP_ELEC		0.808000	0.808000	0.808000	0.121464	0.000000	0.000000	0.000000	0.000000	0.000000	0.540502	0.808000	0.808000
DHN_COGEN_GAS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_COGEN_WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_COGEN_WASTE		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_BOILER_GAS		0.533174	0.420530	0.118092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.124064	0.688000
DHN_BOILER_WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_BOILER_OIL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN_DEEP_GEO		0.276000	0.276000	0.276000	0.276000	0.154436	0.154436	0.154436	0.154436	0.266427	0.276000	0.276000	0.276000
DEC_HP_ELEC		2.372113	2.206884	1.763261	0.583010	0.226530	0.226530	0.226530	0.226530	0.390802	1.197666	1.772020	2.599216
DEC_THHP_GAS		2.579714	2.400025	1.917577	0.634033	0.246356	0.246356	0.246356	0.246356	0.425003	1.302483	1.927103	2.826692
DEC_COGEN_GAS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_COGEN_OIL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_BOILER_GAS		6.656893	6.193209	4.948263	1.636109	0.635715	0.635715	0.635715	0.635715	1.096712	3.361027	4.972845	7.294216
DEC_BOILER_WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_BOILER_OIL		1.289858	1.200013	0.958789	0.317017	0.123178	0.123178	0.123178	0.123178	0.212502	0.651242	0.963552	1.413347
DEC_SOLAR		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DEC_DIRECT_ELEC		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY		1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229
BUS_COACH_DIESEL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
TRAIN_PUB		6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918	6.668918
CAR_GASOLINE		1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229
CAR_DIESEL		1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229
CAR_NG		0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615	0.833615
CAR_HEV		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CAR_PHEV		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CAR_BEV		2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844	2.500844
CAR_FUEL_CELL		1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229	1.667229
TRAIN_FREIGHT		2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445	2.737445
TRUCK		1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963	1.824963
PUMPED_HYDRO		889.234999	488.123378	0.000000	0.000000	994.176230	994.176230	994.176230	2400.000000	2400.000000	2350.737367	1951.400933	1349.629462
POWER2GAS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
EFFICIENCY		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
DHN		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GRID		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
POWER2GAS_1		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
POWER2GAS_2		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
POWER2GAS_3		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
H2_ELECTROLYSIS		0.000001	0.000001	0.000001	0.083542	0.083542	0.083542	0.083542	0.083542	0.083542	0.000001	0.000001	0.000001
H2_NG		0.299100	0.299100	0.299100	0.215559	0.215559	0.215559	0.215559	0.215559	0.215559	0.299100	0.299100	0.299100
H2_BIOMASS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GASIFICATION_SNG		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PYROLYSIS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ELECTRICITY		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GASOLINE		0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408	0.716408
DIESEL		1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361	1.580361
BIOETHANOL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BIODIESEL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
LFO		1.517518	1.411815	1.128015	0.372970	0.144919	0.144919	0.144919	0.144919	0.250008	0.766186	1.133619	1.662803
LNG		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
NG		11.688202	10.931717	8.900630	3.848706	2.753393	2.478703	2.753393	2.753393	3.384711	6.519729	8.846264	12.727972
NG_CCS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SNG		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
WOOD		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
COAL_CCS		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
URANIUM		10.810800	10.810800	10.810800	10.776843	10.810800	3.615160	3.731662	9.994120	6.338167	10.810800	10.810800	10.810800
WASTE		1.306577	1.306577	1.306577	1.413401	1.102799	1.413401	1.102799	1.102799	1.102799	1.396898	1.413401	1.306577
H2		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ELEC_EXPORT		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
