Name	Yearly output
NUCLEAR	29748.960
CCGT	0.000
CCGT_CCS	0.000
COAL_US	0.000
COAL_IGCC	0.000
COAL_US_CCS	0.000
COAL_IGCC_CCS	0.000
PV	0.000
WIND	0.000
HYDRO_DAM	16580.160
NEW_HYDRO_DAM	902.880
HYDRO_RIVER	16122.610
NEW_HYDRO_RIVER	0.000
GEOTHERMAL	0.000
IND_COGEN_GAS	0.000
IND_COGEN_WOOD	0.000
IND_COGEN_WASTE	0.000
IND_BOILER_GAS	9151.065
IND_BOILER_WOOD	0.000
IND_BOILER_OIL	0.000
IND_BOILER_COAL	0.000
IND_BOILER_WASTE	9136.531
IND_DIRECT_ELEC	733.903
DHN_HP_ELEC	3417.779
DHN_COGEN_GAS	0.000
DHN_COGEN_WOOD	0.000
DHN_COGEN_WASTE	0.000
DHN_BOILER_GAS	1368.337
DHN_BOILER_WOOD	0.000
DHN_BOILER_OIL	0.000
DHN_DEEP_GEO	2052.009
DEC_HP_ELEC	10030.340
DEC_THHP_GAS	10908.170
DEC_COGEN_GAS	0.000
DEC_COGEN_OIL	0.000
DEC_ADVCOGEN_GAS	0.000
DEC_ADVCOGEN_H2	0.000
DEC_BOILER_GAS	28148.283
DEC_BOILER_WOOD	0.000
DEC_BOILER_OIL	5454.088
DEC_SOLAR	0.000
DEC_DIRECT_ELEC	0.000
TRAMWAY_TROLLEY	14604.930
BUS_COACH_DIESEL	0.000
BUS_COACH_HYDIESEL	0.000
BUS_COACH_CNG_STOICH	0.000
BUS_COACH_FC_HYBRIDH2	0.000
TRAIN_PUB	58419.720
CAR_GASOLINE	14604.930
CAR_DIESEL	14604.930
CAR_NG	7302.465
CAR_HEV	0.000
CAR_PHEV	0.000
CAR_BEV	21907.395
CAR_FUEL_CELL	14604.930
TRAIN_FREIGHT	23980.020
TRUCK	15986.680
EFFICIENCY	0.000
DHN	0.000
GRID	0.000
POWER2GAS_1	0.000
POWER2GAS_2	0.000
POWER2GAS_3	0.000
H2_ELECTROLYSIS	366.919
H2_NG	2253.206
H2_BIOMASS	0.000
GASIFICATION_SNG	0.000
PYROLYSIS	0.000
ELECTRICITY	0.000
GASOLINE	6275.738
DIESEL	13843.959
BIOETHANOL	0.000
BIODIESEL	0.000
LFO	6416.735
LNG	0.000
NG	56492.104
NG_CCS	0.000
SNG	0.000
WOOD	0.000
COAL	0.000
COAL_CCS	0.000
URANIUM	80402.514
WASTE	11142.000
H2	0.000
ELEC_EXPORT	0.000
