Name	Used	Potential
ELECTRICITY	1377.205678	27600.000000
GASOLINE	0.000169	1000000.000000
DIESEL	0.000659	1000000.000000
BIOETHANOL	0.000127	1000000.000000
BIODIESEL	0.000261	1000000.000000
LFO	56425.634437	1000000.000000
GAS	27636.985248	1000000.000000
GAS_RE	0.000001	1000000.000000
WOOD	23400.000001	23400.000000
WET_BIOMASS	38899.999541	38900.000000
COAL	33399.999999	33400.000000
URANIUM	463722.095104	1000000.000000
WASTE	17800.000002	17800.000000
H2	0.000002	1000000.000000
H2_RE	0.000001	1000000.000000
AMMONIA	7732.353706	1000000.000000
METHANOL	0.003139	1000000.000000
AMMONIA_RE	0.002921	1000000.000000
METHANOL_RE	0.000482	1000000.000000
ELEC_EXPORT	22.832405	1000000.000000
CO2_EMISSIONS	42372.726072	1000000.000000
RES_WIND	21293.011555	1000000.000000
RES_SOLAR	0.001739	1000000.000000
RES_HYDRO	0.001207	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000116	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
