;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;30869.377;0.068828571;0.098062;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.090116834;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.087247819;0.27;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10387139;0.25;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.112528774;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.065810855;0.26;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.050157079;0.2;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.108979576;0.2;
Renewable;Biomass;WOOD;23400;0.0118;0.034609349;0.39;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.006072235;0.39;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017901636;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.024342872;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.345642508;0.093203627;0;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.106834384;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.107350297;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.111582868;0.24570329;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.074537957;0;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.10387139;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
