Name	Crit_3_constr	Crit_3_op
NUCLEAR	0.000000	0.000000
CCGT	0.000000	0.000000
CCGT_AMMONIA	13.521856	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	1057.112582	0.000000
WIND_ONSHORE	66.250710	0.000000
WIND_OFFSHORE	118.643241	0.000000
HYDRO_RIVER	0.513297	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	4.203120	0.000000
IND_COGEN_WOOD	0.000001	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	2.695406	0.000000
IND_BOILER_WOOD	4.488863	0.000000
IND_BOILER_OIL	0.000055	0.000000
IND_BOILER_COAL	0.000023	0.000000
IND_BOILER_WASTE	0.061857	0.000000
IND_DIRECT_ELEC	17.652514	0.000000
DHN_HP_ELEC	43.959729	0.000000
DHN_COGEN_GAS	0.000002	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000
DHN_BOILER_GAS	0.000004	0.000000
DHN_BOILER_WOOD	0.000012	0.000000
DHN_BOILER_OIL	0.000018	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000009	0.000000
DEC_HP_ELEC	15.353412	0.000000
DEC_THHP_GAS	0.000008	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.000007	0.000000
DEC_BOILER_WOOD	0.000015	0.000000
DEC_BOILER_OIL	0.000035	0.000000
DEC_SOLAR	0.000004	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	3.919587	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	3.964904	0.000000
CAR_GASOLINE	0.000016	0.000000
CAR_DIESEL	0.000002	0.000000
CAR_NG	59.406492	0.000000
CAR_METHANOL	0.000003	0.000000
CAR_HEV	0.000004	0.000000
CAR_PHEV	0.000313	0.000000
CAR_BEV	901.105204	0.000000
CAR_FUEL_CELL	0.000002	0.000000
TRAIN_FREIGHT	10.740496	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000002	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000001	0.000000
TRUCK_FUEL_CELL	16.846618	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
ADLIBIO_TO_HVC	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.432516	0.000000
PHS	0.009960	0.000000
BATT_LI	0.000001	0.000000
BEV_BATT	269.674904	0.000000
PHEV_BATT	0.000021	0.000000
TS_DEC_DIRECT_ELEC	0.000136	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000553	0.000000
TS_DEC_ADVCOGEN_H2	0.000658	0.000000
TS_DEC_BOILER_GAS	0.000301	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000298	0.000000
TS_DHN_DAILY	34.374712	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	3.957834	0.000000
LFO_STORAGE	4.139438	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIO_HYDROLYSIS	0.000000	0.000000
BIOMETHANATION	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	21.490610	0.000000
GASIFICATION_SNG	0.000000	0.000000
GRID	0.297235	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ADLIBIO_TO_FUEL	0.000000	0.000000
REDIFUEL	0.000000	0.000000
ELECTRICITY	0.000000	827.019312
GASOLINE	0.000000	0.000002
DIESEL	0.000000	0.000005
BIOETHANOL	0.000000	0.000007
BIODIESEL	0.000000	29.970189
LFO	0.000000	0.000007
GAS	0.000000	0.000000
GAS_RE	0.000000	510.221036
WOOD	0.000000	23.399998
WET_BIOMASS	0.000000	77.799997
COAL	0.000000	0.000180
URANIUM	0.000000	0.000000
WASTE	0.000000	0.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
