Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	0.000003	0.000000
CCGT_AMMONIA	20.854517	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	995.846011	0.000000
WIND_ONSHORE	103.496265	0.000000
WIND_OFFSHORE	97.198721	0.000000
HYDRO_RIVER	2.406173	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	26.393177	0.000000
IND_COGEN_WOOD	0.000003	0.000000
IND_COGEN_WASTE	0.000003	0.000000
IND_BOILER_GAS	1.051476	0.000000
IND_BOILER_WOOD	8.199296	0.000000
IND_BOILER_OIL	0.000003	0.000000
IND_BOILER_COAL	0.000013	0.000000
IND_BOILER_WASTE	6.219820	0.000000
IND_DIRECT_ELEC	1.020046	0.000000
DHN_HP_ELEC	12.777039	0.000000
DHN_COGEN_GAS	0.000002	0.000000
DHN_COGEN_WOOD	0.000002	0.000000
DHN_COGEN_WASTE	0.000002	0.000000
DHN_COGEN_WET_BIOMASS	0.000027	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000022	0.000000
DHN_BOILER_GAS	0.000001	0.000000
DHN_BOILER_WOOD	0.000004	0.000000
DHN_BOILER_OIL	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000019	0.000000
DEC_HP_ELEC	44.004935	0.000000
DEC_THHP_GAS	0.000028	0.000000
DEC_COGEN_GAS	0.000011	0.000000
DEC_COGEN_OIL	0.000012	0.000000
DEC_ADVCOGEN_GAS	0.000002	0.000000
DEC_ADVCOGEN_H2	0.000002	0.000000
DEC_BOILER_GAS	0.000002	0.000000
DEC_BOILER_WOOD	0.000004	0.000000
DEC_BOILER_OIL	0.000001	0.000000
DEC_SOLAR	0.000243	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000
TRAMWAY_TROLLEY	0.000307	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.001402	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000190	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.058013	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.663312	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000203	0.000000
BOAT_FREIGHT_DIESEL	0.000420	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.045027	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000044	0.000000
SYN_METHANOLATION	0.000028	0.000000
METHANE_TO_METHANOL	0.000037	0.000000
BIOMASS_TO_METHANOL	0.000020	0.000000
ADLIBIO_TO_HVC	0.000021	0.000000
OIL_TO_HVC	0.000053	0.000000
GAS_TO_HVC	0.000020	0.000000
BIOMASS_TO_HVC	0.000011	0.000000
METHANOL_TO_HVC	166.473036	0.000000
PHS	0.130968	0.000000
BATT_LI	0.000049	0.000000
BEV_BATT	9015.464447	0.000000
PHEV_BATT	0.000714	0.000000
TS_DEC_DIRECT_ELEC	0.000035	0.000000
TS_DEC_HP_ELEC	16.518991	0.000000
TS_DEC_THHP_GAS	0.000026	0.000000
TS_DEC_COGEN_GAS	0.000048	0.000000
TS_DEC_COGEN_OIL	0.000031	0.000000
TS_DEC_ADVCOGEN_GAS	0.000023	0.000000
TS_DEC_ADVCOGEN_H2	0.000027	0.000000
TS_DEC_BOILER_GAS	0.000033	0.000000
TS_DEC_BOILER_WOOD	0.000046	0.000000
TS_DEC_BOILER_OIL	0.000032	0.000000
TS_DHN_DAILY	4.636997	0.000000
TS_DHN_SEASONAL	156.735019	0.000000
TS_HIGH_TEMP	17.906228	0.000000
GAS_STORAGE	0.008486	0.000000
H2_STORAGE	0.001390	0.000000
DIESEL_STORAGE	0.001920	0.000000
GASOLINE_STORAGE	0.001057	0.000000
LFO_STORAGE	0.000891	0.000000
AMMONIA_STORAGE	0.006460	0.000000
METHANOL_STORAGE	0.004681	0.000000
CO2_STORAGE	0.004739	0.000000
AMMONIA_TO_H2	0.000010	0.000000
ATM_CCS	0.000001	0.000000
BIO_HYDROLYSIS	183.538697	0.000000
BIOMETHANATION	0.000043	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GASIFICATION_SNG	0.000001	0.000000
GRID	19.150065	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000071	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000016	0.000000
PYROLYSIS_TO_LFO	0.000014	0.000000
SMR	0.000008	0.000000
SYN_METHANATION	0.000002	0.000000
ADLIBIO_TO_FUEL	0.000026	0.000000
REDIFUEL	0.000005	0.000000
ELECTRICITY	0.000000	5692.255736
GASOLINE	0.000000	0.000148
DIESEL	0.000000	0.000536
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000709
GAS	0.000000	0.000002
GAS_RE	0.000000	0.000000
WOOD	0.000000	276.119979
WET_BIOMASS	0.000000	459.019984
COAL	0.000000	0.000350
URANIUM	0.000000	0.000000
WASTE	0.000000	2671.779952
H2	0.000000	0.000001
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000117
METHANOL	0.000000	0.000148
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
