Name	Used	Potential
ELECTRICITY	27599.999994	27600.000000
GASOLINE	0.000814	1000000.000000
DIESEL	0.002670	1000000.000000
BIOETHANOL	0.002380	1000000.000000
BIODIESEL	17309.020362	1000000.000000
LFO	0.004535	1000000.000000
GAS	45120.203755	1000000.000000
GAS_RE	72456.104121	1000000.000000
WOOD	23400.000333	23400.000000
WET_BIOMASS	38899.999113	38900.000000
COAL	0.001558	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17799.999517	17800.000000
H2	0.000013	1000000.000000
H2_RE	0.004983	1000000.000000
AMMONIA	0.004094	1000000.000000
METHANOL	0.004155	1000000.000000
AMMONIA_RE	10195.198831	1000000.000000
METHANOL_RE	38822.717074	1000000.000000
ELEC_EXPORT	878.537247	1000000.000000
CO2_EMISSIONS	44676.396132	1000000.000000
RES_WIND	42054.193845	1000000.000000
RES_SOLAR	60599.021430	1000000.000000
RES_HYDRO	474.966663	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000278	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
