Name	Used	Potential
ELECTRICITY	22463.301593	27600.000000
GASOLINE	0.015517	1000000.000000
DIESEL	0.327469	1000000.000000
BIOETHANOL	0.137663	1000000.000000
BIODIESEL	0.013412	1000000.000000
LFO	34138.268943	1000000.000000
GAS	154742.510127	1000000.000000
GAS_RE	0.000015	1000000.000000
WOOD	23400.227052	23400.000000
WET_BIOMASS	38900.378260	38900.000000
COAL	0.033465	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.125765	17800.000000
H2	0.001228	1000000.000000
H2_RE	0.000029	1000000.000000
AMMONIA	0.004793	1000000.000000
METHANOL	0.025424	1000000.000000
AMMONIA_RE	10195.269104	1000000.000000
METHANOL_RE	15151.286983	1000000.000000
ELEC_EXPORT	1601.957409	1000000.000000
CO2_EMISSIONS	48990.814787	1000000.000000
RES_WIND	41468.235551	1000000.000000
RES_SOLAR	59393.117140	1000000.000000
RES_HYDRO	473.915795	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.003062	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
