Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	0.000043	0.000000
CCGT_AMMONIA	0.000015	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	2627.369881	0.000000
WIND_ONSHORE	185.666667	0.000000
WIND_OFFSHORE	152.800000	0.000000
HYDRO_RIVER	8.078750	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	178.106426	0.000000
IND_COGEN_WOOD	0.000009	0.000000
IND_COGEN_WASTE	0.000014	0.000000
IND_BOILER_GAS	0.000011	0.000000
IND_BOILER_WOOD	14.764589	0.000000
IND_BOILER_OIL	0.000010	0.000000
IND_BOILER_COAL	0.000010	0.000000
IND_BOILER_WASTE	13.600038	0.000000
IND_DIRECT_ELEC	2.442782	0.000000
DHN_HP_ELEC	70.192702	0.000000
DHN_COGEN_GAS	6.298517	0.000000
DHN_COGEN_WOOD	0.000008	0.000000
DHN_COGEN_WASTE	0.000013	0.000000
DHN_COGEN_WET_BIOMASS	0.000013	0.000000
DHN_COGEN_BIO_HYDROLYSIS	142.382662	0.000000
DHN_BOILER_GAS	0.000010	0.000000
DHN_BOILER_WOOD	0.000011	0.000000
DHN_BOILER_OIL	0.000010	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000
DEC_HP_ELEC	213.744849	0.000000
DEC_THHP_GAS	0.000021	0.000000
DEC_COGEN_GAS	0.000019	0.000000
DEC_COGEN_OIL	0.000019	0.000000
DEC_ADVCOGEN_GAS	0.000004	0.000000
DEC_ADVCOGEN_H2	0.000004	0.000000
DEC_BOILER_GAS	0.000021	0.000000
DEC_BOILER_WOOD	0.000021	0.000000
DEC_BOILER_OIL	0.000023	0.000000
DEC_SOLAR	0.000052	0.000000
DEC_DIRECT_ELEC	0.000021	0.000000
TRAMWAY_TROLLEY	4.420813	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000010	0.000000
BUS_COACH_CNG_STOICH	35.822965	0.000000
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000
TRAIN_PUB	31.116496	0.000000
CAR_GASOLINE	0.000002	0.000000
CAR_DIESEL	0.000001	0.000000
CAR_NG	0.000011	0.000000
CAR_METHANOL	0.000003	0.000000
CAR_HEV	0.000002	0.000000
CAR_PHEV	0.000996	0.000000
CAR_BEV	3333.670976	0.000000
CAR_FUEL_CELL	0.000009	0.000000
TRAIN_FREIGHT	7.116877	0.000000
