Name	Used	Potential
ELECTRICITY	27600.000006	27600.000000
GASOLINE	0.000074	1000000.000000
DIESEL	0.000205	1000000.000000
BIOETHANOL	0.000520	1000000.000000
BIODIESEL	0.000265	1000000.000000
LFO	0.000214	1000000.000000
GAS	35746.429582	1000000.000000
GAS_RE	84414.358512	1000000.000000
WOOD	23400.000068	23400.000000
WET_BIOMASS	38899.999995	38900.000000
COAL	0.000083	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.000029	17800.000000
H2	0.000008	1000000.000000
H2_RE	0.000000	1000000.000000
AMMONIA	10195.200271	1000000.000000
METHANOL	38455.231573	1000000.000000
AMMONIA_RE	0.000076	1000000.000000
METHANOL_RE	0.000096	1000000.000000
ELEC_EXPORT	0.000075	1000000.000000
CO2_EMISSIONS	46408.390232	1000000.000000
RES_WIND	42965.113246	1000000.000000
RES_SOLAR	61534.849281	1000000.000000
RES_HYDRO	487.581546	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000032	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
