Name	Used	Potential
ELECTRICITY	27599.999949	27600.000000
GASOLINE	0.000080	1000000.000000
DIESEL	0.000207	1000000.000000
BIOETHANOL	0.000407	1000000.000000
BIODIESEL	0.001548	1000000.000000
LFO	0.000585	1000000.000000
GAS	0.000006	1000000.000000
GAS_RE	124291.209544	1000000.000000
WOOD	23400.000025	23400.000000
WET_BIOMASS	38899.999935	38900.000000
COAL	0.000186	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17799.999410	17800.000000
H2	0.000072	1000000.000000
H2_RE	0.000007	1000000.000000
AMMONIA	10195.198376	1000000.000000
METHANOL	16198.607686	1000000.000000
AMMONIA_RE	0.001726	1000000.000000
METHANOL_RE	22256.620036	1000000.000000
ELEC_EXPORT	89.867324	1000000.000000
CO2_EMISSIONS	47650.414093	1000000.000000
RES_WIND	42452.486817	1000000.000000
RES_SOLAR	61433.916098	1000000.000000
RES_HYDRO	478.450284	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000042	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
