Name	Used	Potential
ELECTRICITY	27599.962064	27600.000000
GASOLINE	0.002590	1000000.000000
DIESEL	0.005935	1000000.000000
BIOETHANOL	0.036723	1000000.000000
BIODIESEL	0.083258	1000000.000000
LFO	0.020876	1000000.000000
GAS	0.044910	1000000.000000
GAS_RE	124290.650341	1000000.000000
WOOD	23400.000005	23400.000000
WET_BIOMASS	38899.999934	38900.000000
COAL	0.006814	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17799.276087	17800.000000
H2	0.009757	1000000.000000
H2_RE	0.000170	1000000.000000
AMMONIA	10195.103675	1000000.000000
METHANOL	16198.945973	1000000.000000
AMMONIA_RE	0.090681	1000000.000000
METHANOL_RE	22256.153848	1000000.000000
ELEC_EXPORT	169.627773	1000000.000000
CO2_EMISSIONS	47650.108656	1000000.000000
RES_WIND	42592.360107	1000000.000000
RES_SOLAR	61377.044339	1000000.000000
RES_HYDRO	478.550953	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.003501	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
