Name	RSC_constr	RSC_op
NUCLEAR	0.000000	0.000000
CCGT	3.068387	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	240.697314	0.000000
WIND_ONSHORE	12.081477	0.000000
WIND_OFFSHORE	8.872065	0.000000
HYDRO_RIVER	0.400433	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	6.688949	0.000000
IND_COGEN_WOOD	0.000008	0.000000
IND_COGEN_WASTE	0.000018	0.000000
IND_BOILER_GAS	0.000011	0.000000
IND_BOILER_WOOD	0.000028	0.000000
IND_BOILER_OIL	0.000011	0.000000
IND_BOILER_COAL	0.000018	0.000000
IND_BOILER_WASTE	1.099327	0.000000
IND_DIRECT_ELEC	0.082611	0.000000
DHN_HP_ELEC	1.189348	0.000000
DHN_COGEN_GAS	0.000059	0.000000
DHN_COGEN_WOOD	0.000007	0.000000
DHN_COGEN_WASTE	0.000014	0.000000
DHN_COGEN_WET_BIOMASS	0.000017	0.000000
DHN_COGEN_BIO_HYDROLYSIS	3.986787	0.000000
DHN_BOILER_GAS	0.000003	0.000000
DHN_BOILER_WOOD	0.000017	0.000000
DHN_BOILER_OIL	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000004	0.000000
DEC_HP_ELEC	4.789059	0.000000
DEC_THHP_GAS	0.000073	0.000000
DEC_COGEN_GAS	0.000018	0.000000
DEC_COGEN_OIL	0.000015	0.000000
DEC_ADVCOGEN_GAS	0.000010	0.000000
DEC_ADVCOGEN_H2	0.000005	0.000000
DEC_BOILER_GAS	0.000025	0.000000
DEC_BOILER_WOOD	0.000013	0.000000
DEC_BOILER_OIL	0.000022	0.000000
DEC_SOLAR	0.000196	0.000000
DEC_DIRECT_ELEC	0.000006	0.000000
TRAMWAY_TROLLEY	0.296696	0.000000
BUS_COACH_DIESEL	0.000002	0.000000
BUS_COACH_HYDIESEL	0.000033	0.000000
BUS_COACH_CNG_STOICH	2.820194	0.000000
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000
TRAIN_PUB	2.087919	0.000000
CAR_GASOLINE	0.000011	0.000000
CAR_DIESEL	0.000005	0.000000
CAR_NG	0.000010	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000018	0.000000
CAR_PHEV	0.001777	0.000000
CAR_BEV	238.813685	0.000000
CAR_FUEL_CELL	0.000018	0.000000
TRAIN_FREIGHT	0.444960	0.000000
BOAT_FREIGHT_DIESEL	0.000005	0.000000
BOAT_FREIGHT_NG	0.991191	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000020	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000001	0.000000
TRUCK_ELEC	38.784044	0.000000
TRUCK_NG	0.000035	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.031650	0.000000
BATT_LI	1.152635	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000069	0.000000
TS_DEC_HP_ELEC	1.133620	0.000000
TS_DEC_THHP_GAS	0.000069	0.000000
TS_DEC_COGEN_GAS	0.000069	0.000000
TS_DEC_COGEN_OIL	0.000069	0.000000
TS_DEC_ADVCOGEN_GAS	0.000069	0.000000
TS_DEC_ADVCOGEN_H2	0.000069	0.000000
TS_DEC_BOILER_GAS	0.000069	0.000000
TS_DEC_BOILER_WOOD	0.000069	0.000000
TS_DEC_BOILER_OIL	0.000069	0.000000
TS_DHN_DAILY	0.000237	0.000000
TS_DHN_SEASONAL	6.995076	0.000000
TS_HIGH_TEMP	13.573185	0.000000
