Name	EP_constr	EP_op
NUCLEAR	0.000000	0.000000
CCGT	20.910112	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	2034.857987	0.000000
WIND_ONSHORE	74.327099	0.000000
WIND_OFFSHORE	56.364790	0.000000
HYDRO_RIVER	3.045065	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	51.084786	0.000000
IND_COGEN_WOOD	0.000081	0.000000
IND_COGEN_WASTE	0.000076	0.000000
IND_BOILER_GAS	0.000081	0.000000
IND_BOILER_WOOD	0.000196	0.000000
IND_BOILER_OIL	0.000082	0.000000
IND_BOILER_COAL	0.000127	0.000000
IND_BOILER_WASTE	7.698707	0.000000
IND_DIRECT_ELEC	0.666936	0.000000
DHN_HP_ELEC	22.953183	0.000000
DHN_COGEN_GAS	0.000400	0.000000
DHN_COGEN_WOOD	0.000075	0.000000
DHN_COGEN_WASTE	0.000060	0.000000
DHN_COGEN_WET_BIOMASS	0.000071	0.000000
DHN_COGEN_BIO_HYDROLYSIS	17.090559	0.000000
DHN_BOILER_GAS	0.000022	0.000000
DHN_BOILER_WOOD	0.000116	0.000000
DHN_BOILER_OIL	0.000021	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000064	0.000000
DEC_HP_ELEC	92.323438	0.000000
DEC_THHP_GAS	0.000646	0.000000
DEC_COGEN_GAS	0.000113	0.000000
DEC_COGEN_OIL	0.000096	0.000000
DEC_ADVCOGEN_GAS	0.000036	0.000000
DEC_ADVCOGEN_H2	0.000020	0.000000
DEC_BOILER_GAS	0.000301	0.000000
DEC_BOILER_WOOD	0.000097	0.000000
DEC_BOILER_OIL	0.000273	0.000000
DEC_SOLAR	0.002704	0.000000
DEC_DIRECT_ELEC	0.000048	0.000000
TRAMWAY_TROLLEY	4.362086	0.000000
BUS_COACH_DIESEL	0.000013	0.000000
BUS_COACH_HYDIESEL	0.000269	0.000000
BUS_COACH_CNG_STOICH	17.110560	0.000000
BUS_COACH_FC_HYBRIDH2	0.000008	0.000000
TRAIN_PUB	23.688907	0.000000
CAR_GASOLINE	0.000073	0.000000
CAR_DIESEL	0.000036	0.000000
CAR_NG	0.000066	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000162	0.000000
CAR_PHEV	0.015130	0.000000
CAR_BEV	2276.792485	0.000000
CAR_FUEL_CELL	0.000127	0.000000
TRAIN_FREIGHT	4.290586	0.000000
BOAT_FREIGHT_DIESEL	0.000044	0.000000
BOAT_FREIGHT_NG	8.081511	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000100	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000004	0.000000
TRUCK_ELEC	367.510617	0.000000
TRUCK_NG	0.000179	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.206804	0.000000
BATT_LI	17.832244	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000547	0.000000
TS_DEC_HP_ELEC	8.991497	0.000000
TS_DEC_THHP_GAS	0.000546	0.000000
TS_DEC_COGEN_GAS	0.000546	0.000000
TS_DEC_COGEN_OIL	0.000546	0.000000
TS_DEC_ADVCOGEN_GAS	0.000546	0.000000
TS_DEC_ADVCOGEN_H2	0.000546	0.000000
TS_DEC_BOILER_GAS	0.000546	0.000000
TS_DEC_BOILER_WOOD	0.000546	0.000000
TS_DEC_BOILER_OIL	0.000546	0.000000
TS_DHN_DAILY	0.001877	0.000000
TS_DHN_SEASONAL	14.793854	0.000000
TS_HIGH_TEMP	74.649808	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	0.000406	0.000000
BIO_HYDROLYSIS	0.001746	0.000000
GASIFICATION_SNG	0.000024	0.000000
H2_BIOMASS	0.000021	0.000000
H2_ELECTROLYSIS	0.000157	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000104	0.000000
PYROLYSIS_TO_LFO	0.000148	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ELECTRICITY	0.000000	717.599014
GASOLINE	0.000000	0.000096
DIESEL	0.000000	0.000267
BIOETHANOL	0.000000	0.001726
BIODIESEL	0.000000	0.021564
LFO	0.000000	0.000668
GAS	0.000000	0.001123
GAS_RE	0.000000	3231.556909
WOOD	0.000000	2620.800001
WET_BIOMASS	0.000000	2061.699997
COAL	0.000000	0.001261
URANIUM	0.000000	0.000000
WASTE	0.000000	427.182626
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
