Name	Used	Potential
ELECTRICITY	27599.999863	27600.000000
GASOLINE	0.000073	1000000.000000
DIESEL	0.000294	1000000.000000
BIOETHANOL	0.000106	1000000.000000
BIODIESEL	0.000694	1000000.000000
LFO	0.000559	1000000.000000
GAS	97038.425117	1000000.000000
GAS_RE	0.000283	1000000.000000
WOOD	23400.000002	23400.000000
WET_BIOMASS	38899.999986	38900.000000
COAL	0.000258	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.000000	17800.000000
H2	0.000001	1000000.000000
H2_RE	27127.152492	1000000.000000
AMMONIA	0.000164	1000000.000000
METHANOL	0.000216	1000000.000000
AMMONIA_RE	10195.201558	1000000.000000
METHANOL_RE	50297.236283	1000000.000000
ELEC_EXPORT	1022.753205	1000000.000000
CO2_EMISSIONS	45003.775890	1000000.000000
RES_WIND	42001.749237	1000000.000000
RES_SOLAR	60794.099272	1000000.000000
RES_HYDRO	475.578077	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000024	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
