source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,38.46,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,23.40,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.47,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,5.12,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.42,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,MTO,51.34,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.36,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Gas RE,Gas,131.34,Gas,#FFD700,TWh
Gas Prod,Gas sto.,35.47,GAS,#FFD700,TWh
Gas sto.,Gas,34.77,GAS,#FFD700,TWh
Gas Prod,Gas,-29.99,GAS,#FFD700,TWh
Gas,Mob public,5.82,GAS,#FFD700,TWh
Gas,Freight,16.55,GAS,#FFD700,TWh
Gas,Elec,23.43,GAS,#FFD700,TWh
Gas,CHP,90.50,GAS,#FFD700,TWh
Electricity,Elec,27.60,Electricity,#00BFFF,TWh
Wind,Elec,41.95,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wet biomass,CHP,25.93,Wood,#CD853F,TWh
Wet biomass,Biomethanation,12.97,Wood,#CD853F,TWh
Biomethanation,Gas Prod,5.49,GAS,#FFD700,TWh
Biomethanation,Elec,0.52,Electricity,#00BFFF,TWh
Elec,Mob priv,18.92,Electricity,#00BFFF,TWh
Elec,Mob public,5.59,Electricity,#00BFFF,TWh
Elec,Freight,8.94,Electricity,#00BFFF,TWh
Elec,Exp & Loss,9.02,Electricity,#00BFFF,TWh
Elec,Curt.,0.79,Electricity,#00BFFF,TWh
Elec,Elec demand,91.40,Electricity,#00BFFF,TWh
Solar,Curt.,0.83,Solar,#FFFF00,TWh
Wind,Curt.,1.02,Wind,#27AE34,TWh
Elec,Storage,0.77,Electricity,#00BFFF,TWh
Storage,Elec demand,0.58,Electricity,#00BFFF,TWh
Elec,HPs,45.73,Electricity,#00BFFF,TWh
Elec,HT sto,6.42,Electricity,#00BFFF,TWh
HT sto,Heat HT,6.40,Heat HT,#DC143C,TWh
Elec,Heat HT,1.96,Electricity,#00BFFF,TWh
CHP,Elec,46.01,Electricity,#00BFFF,TWh
CHP,DHN,8.66,Heat LT,#FA8072,TWh
CHP,Heat HT,41.24,Heat HT,#DC143C,TWh
HPs,Dec. sto,21.87,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,72.64,Heat LT,#FA8072,TWh
HPs,DHN,43.94,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,20.17,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.46,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,39.54,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.89,Heat LT,#FA8072,TWh
DHN,DHN Sto,15.29,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,14.96,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
