Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	5.316305	0.000000
CCGT_AMMONIA	0.000002	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	802.333612	0.000000
WIND_ONSHORE	185.666667	0.000000
WIND_OFFSHORE	152.800000	0.000000
HYDRO_RIVER	8.078750	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	34.535678	0.000000
IND_COGEN_WOOD	0.000001	0.000000
IND_COGEN_WASTE	0.000002	0.000000
IND_BOILER_GAS	0.000003	0.000000
IND_BOILER_WOOD	0.000010	0.000000
IND_BOILER_OIL	0.000002	0.000000
IND_BOILER_COAL	8.740260	0.000000
IND_BOILER_WASTE	9.758195	0.000000
IND_DIRECT_ELEC	0.058776	0.000000
DHN_HP_ELEC	32.541123	0.000000
DHN_COGEN_GAS	24.197688	0.000000
DHN_COGEN_WOOD	0.000001	0.000000
DHN_COGEN_WASTE	0.000001	0.000000
DHN_COGEN_WET_BIOMASS	0.000022	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000003	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000002	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000
DEC_HP_ELEC	0.000028	0.000000
DEC_THHP_GAS	432.998961	0.000000
DEC_COGEN_GAS	0.000005	0.000000
DEC_COGEN_OIL	0.000003	0.000000
DEC_ADVCOGEN_GAS	0.000001	0.000000
DEC_ADVCOGEN_H2	0.000001	0.000000
DEC_BOILER_GAS	0.000004	0.000000
DEC_BOILER_WOOD	0.000002	0.000000
DEC_BOILER_OIL	0.000003	0.000000
DEC_SOLAR	0.000044	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000
TRAMWAY_TROLLEY	5.827856	0.000000
BUS_COACH_DIESEL	0.000001	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	165.286096	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000001	0.000000
CAR_DIESEL	0.000003	0.000000
CAR_NG	0.000001	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000001	0.000000
CAR_PHEV	0.000264	0.000000
CAR_BEV	1983.780885	0.000000
CAR_FUEL_CELL	3309.107311	0.000000
TRAIN_FREIGHT	9.935991	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000
BOAT_FREIGHT_NG	22.447978	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000007	0.000000
TRUCK_METHANOL	0.000002	0.000000
TRUCK_FUEL_CELL	0.000011	0.000000
TRUCK_ELEC	0.000001	0.000000
TRUCK_NG	234.133615	0.000000
HABER_BOSCH	0.000003	0.000000
SYN_METHANOLATION	0.000002	0.000000
METHANE_TO_METHANOL	0.000004	0.000000
BIOMASS_TO_METHANOL	13.914436	0.000000
OIL_TO_HVC	69.323638	0.000000
GAS_TO_HVC	0.000003	0.000000
BIOMASS_TO_HVC	0.000017	0.000000
METHANOL_TO_HVC	17.420951	0.000000
PHS	0.756600	0.000000
BATT_LI	0.000011	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000009	0.000000
TS_DEC_HP_ELEC	0.000010	0.000000
TS_DEC_THHP_GAS	8.763419	0.000000
TS_DEC_COGEN_GAS	0.000009	0.000000
TS_DEC_COGEN_OIL	0.000009	0.000000
TS_DEC_ADVCOGEN_GAS	0.000009	0.000000
TS_DEC_ADVCOGEN_H2	0.000009	0.000000
TS_DEC_BOILER_GAS	0.000009	0.000000
TS_DEC_BOILER_WOOD	0.000009	0.000000
TS_DEC_BOILER_OIL	0.000009	0.000000
TS_DHN_DAILY	0.000055	0.000000
TS_DHN_SEASONAL	59.699830	0.000000
TS_HIGH_TEMP	0.032847	0.000000
GAS_STORAGE	29.141185	0.000000
H2_STORAGE	0.059067	0.000000
DIESEL_STORAGE	28.512056	0.000000
GASOLINE_STORAGE	31.808181	0.000000
LFO_STORAGE	18.681032	0.000000
AMMONIA_STORAGE	22.276171	0.000000
METHANOL_STORAGE	27.665131	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000005	0.000000
ATM_CCS	0.000001	0.000000
BIOMETHANATION	49.257601	0.000000
BIO_HYDROLYSIS	0.000070	0.000000
GASIFICATION_SNG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000004	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000002	0.000000
PYROLYSIS_TO_LFO	0.000002	0.000000
SMR	70.995941	0.000000
SYN_METHANATION	0.000001	0.000000
ELECTRICITY	0.000000	1955.112088
GASOLINE	0.000000	0.000056
DIESEL	0.000000	0.000211
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	17576.048530
GAS	0.000000	60764.671960
GAS_RE	0.000000	0.000000
WOOD	0.000000	276.120002
WET_BIOMASS	0.000000	459.020003
COAL	0.000000	13393.397334
URANIUM	0.000000	0.000000
WASTE	0.000000	2669.999337
H2	0.000000	0.000046
H2_RE	0.000000	0.000000
AMMONIA	0.000000	2905.629303
METHANOL	0.000000	0.000222
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
RES_GEO	0.000000	0.000000
CO2_ATM	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
