Name	RSC_constr	RSC_op
NUCLEAR	0.000000	0.000000
CCGT	2.360370	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	169.555143	0.000000
WIND_ONSHORE	12.081477	0.000000
WIND_OFFSHORE	8.872063	0.000000
HYDRO_RIVER	0.400434	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	2.237985	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.000001	0.000000
IND_BOILER_WOOD	0.000001	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	0.326986	0.000000
IND_BOILER_WASTE	0.525396	0.000000
IND_DIRECT_ELEC	0.035429	0.000000
DHN_HP_ELEC	1.384554	0.000000
DHN_COGEN_GAS	0.000019	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	0.000132	0.000000
DEC_THHP_GAS	22.296669	0.000000
DEC_COGEN_GAS	0.000001	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.000001	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.296696	0.000000
BUS_COACH_DIESEL	0.000002	0.000000
BUS_COACH_HYDIESEL	0.000007	0.000000
BUS_COACH_CNG_STOICH	9.870743	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000001	0.000000
CAR_DIESEL	0.000001	0.000000
CAR_NG	0.000003	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000003	0.000000
CAR_PHEV	0.000110	0.000000
CAR_BEV	238.813629	0.000000
CAR_FUEL_CELL	0.000053	0.000000
TRAIN_FREIGHT	0.444960	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
