Name	AGRO_LAND_constr	AGRO_LAND_op
NUCLEAR	0.000000	0.000000
CCGT	1.055863	0.000000
CCGT_AMMONIA	0.000000	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	0.000001	0.000000
WIND_ONSHORE	5.069165	0.000000
WIND_OFFSHORE	4.592977	0.000000
HYDRO_RIVER	0.175514	0.000000
GEOTHERMAL	0.000000	0.000000
IND_COGEN_GAS	20.012566	0.000000
IND_COGEN_WOOD	0.000009	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.055720	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	0.000000	0.000000
IND_DIRECT_ELEC	0.017630	0.000000
DHN_HP_ELEC	0.560892	0.000000
DHN_COGEN_GAS	3.121180	0.000000
DHN_COGEN_WOOD	0.000009	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000
DEC_HP_ELEC	2.983446	0.000000
DEC_THHP_GAS	0.000001	0.000000
DEC_COGEN_GAS	0.000003	0.000000
DEC_COGEN_OIL	0.000002	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.000001	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	0.000001	0.000000
DEC_SOLAR	0.000003	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
TRAMWAY_TROLLEY	0.617280	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	1.780869	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	4.025116	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	142.263468	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000019	0.000000
CAR_BEV	0.000070	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	1.668081	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	2.684160	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	8.599771	0.000000
HABER_BOSCH	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
PHS	0.015027	0.000000
BATT_LI	0.000001	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000005	0.000000
TS_DEC_HP_ELEC	1.436256	0.000000
TS_DEC_THHP_GAS	0.000005	0.000000
TS_DEC_COGEN_GAS	0.000005	0.000000
TS_DEC_COGEN_OIL	0.000005	0.000000
TS_DEC_ADVCOGEN_GAS	0.000005	0.000000
TS_DEC_ADVCOGEN_H2	0.000005	0.000000
TS_DEC_BOILER_GAS	0.000005	0.000000
TS_DEC_BOILER_WOOD	0.000005	0.000000
TS_DEC_BOILER_OIL	0.000005	0.000000
TS_DHN_DAILY	0.000011	0.000000
TS_DHN_SEASONAL	0.000004	0.000000
TS_HIGH_TEMP	0.000002	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
DHN	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
GRID	0.000000	0.000000
AMMONIA_TO_H2	0.000000	0.000000
ATM_CCS	0.000000	0.000000
BIOMETHANATION	0.000010	0.000000
BIO_HYDROLYSIS	0.000012	0.000000
GASIFICATION_SNG	0.000000	0.000000
H2_BIOMASS	0.000000	0.000000
H2_ELECTROLYSIS	0.000000	0.000000
INDUSTRY_CCS	0.000000	0.000000
PYROLYSIS_TO_FUELS	0.000000	0.000000
PYROLYSIS_TO_LFO	0.000000	0.000000
SMR	0.000000	0.000000
SYN_METHANATION	0.000000	0.000000
ELECTRICITY	0.000000	45.077357
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000014
BIODIESEL	0.000000	0.000039
LFO	0.000000	0.000000
GAS	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	20147.400223
WET_BIOMASS	0.000000	0.000278
COAL	0.000000	0.000001
URANIUM	0.000000	0.000000
WASTE	0.000000	0.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000
RES_WIND	0.000000	0.000000
RES_SOLAR	0.000000	0.000000
RES_HYDRO	0.000000	0.000000
