Name	Used	Potential
ELECTRICITY	27599.998447	27600.000000
GASOLINE	0.000106	1000000.000000
DIESEL	0.000381	1000000.000000
BIOETHANOL	0.000351	1000000.000000
BIODIESEL	0.001007	1000000.000000
LFO	0.000932	1000000.000000
GAS	138156.053051	1000000.000000
GAS_RE	0.000003	1000000.000000
WOOD	23399.999931	23400.000000
WET_BIOMASS	38899.999997	38900.000000
COAL	0.000393	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17799.999976	17800.000000
H2	0.000470	1000000.000000
H2_RE	0.000011	1000000.000000
AMMONIA	10195.197817	1000000.000000
METHANOL	38455.222930	1000000.000000
AMMONIA_RE	0.002332	1000000.000000
METHANOL_RE	0.008003	1000000.000000
ELEC_EXPORT	636.086846	1000000.000000
CO2_EMISSIONS	44639.389539	1000000.000000
RES_WIND	42307.699275	1000000.000000
RES_SOLAR	60283.742730	1000000.000000
RES_HYDRO	475.467115	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.000058	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
