source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,9.88,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,9.88,Ammonia,#000ECD,TWh
Wood,Gasifi. to Methanol,2.42,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.05,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,0.53,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,1.49,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.49,Methanol,#CC0066,TWh
Oil,NSC,72.87,Naphtha,#8B008B,TWh
Elec,NSC,0.85,Electricity,#00BFFF,TWh
Heat HT,NSC,0.69,Heat HT,#DC143C,TWh
NSC,HVC,40.08,HVC,#00FFFF,TWh
HVC,Non-energy demand,40.08,HVC,#00FFFF,TWh
Imp. Gas,Gas,176.09,Gas,#FFD700,TWh
Gas Prod,Gas sto.,13.35,GAS,#FFD700,TWh
Gas sto.,Gas,13.09,GAS,#FFD700,TWh
Gas Prod,Gas,-1.73,GAS,#FFD700,TWh
Gas,Mob public,11.51,GAS,#FFD700,TWh
Gas,Freight,23.42,GAS,#FFD700,TWh
Gas,CHP,93.77,GAS,#FFD700,TWh
Gas,HPs,58.60,GAS,#FFD700,TWh
Gas,Boilers,0.21,GAS,#FFD700,TWh
Electricity,Elec,11.50,Electricity,#00BFFF,TWh
Uranium,Elec,43.74,Nuclear,#FFC0CB,TWh
Wind,Elec,21.30,Wind,#27AE34,TWh
Hydro River,Elec,0.49,Hydro River,#0000FF,TWh
Coal,Boilers,33.35,Coal,#A0522D,TWh
Solar,Elec,10.38,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Imp. Oil,Oil,72.87,Oil,#8B008B,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,11.63,GAS,#FFD700,TWh
Elec,Mob priv,10.70,Electricity,#00BFFF,TWh
Elec,Mob public,1.16,Electricity,#00BFFF,TWh
Elec,Freight,1.33,Electricity,#00BFFF,TWh
Elec,Exp & Loss,4.82,Electricity,#00BFFF,TWh
Elec,Elec demand,74.69,Electricity,#00BFFF,TWh
Elec,Storage,0.12,Electricity,#00BFFF,TWh
Storage,Elec demand,0.09,Electricity,#00BFFF,TWh
Elec,HPs,7.67,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
CHP,Elec,44.05,Electricity,#00BFFF,TWh
CHP,DHN,21.19,Heat LT,#FA8072,TWh
CHP,Heat HT,18.35,Heat HT,#DC143C,TWh
HPs,Dec. sto,9.88,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,71.78,Heat LT,#FA8072,TWh
HPs,DHN,28.50,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,9.26,Heat LT,#FA8072,TWh
Boilers,Heat HT,41.75,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,40.45,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.51,Heat LT,#FA8072,TWh
DHN,DHN Sto,7.27,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,7.14,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,59.41,Heat HT,#DC143C,TWh
