;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.275314286;0.077464;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.078546277;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.076045629;0.27;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.115050221;0.25;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.123848056;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.057361066;0.26;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.041490629;0.2;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.122999212;0.2;
Renewable;Biomass;WOOD;23400;0.0118;0.031917954;0.39;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005600028;0.39;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02244985;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.372882286;0.08517782;0;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.125446402;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.08880165;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.097256179;0.24570329;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.085465988;0;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.115050221;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
