Category,Subcategory,parameter name,avail,gwp_op,c_op,einv_op
,,units,[GWh/y],[ktCO2-eq./GWh],[Meuro/GWh],[GWh/y]
Non-renewable,Other non-renewable,ELECTRICITY,27600.0,0.206,0.0843,0.123
Non-renewable,Fossil fuel,GASOLINE,1000000.0,0.345,0.0824,0.281
Non-renewable,Fossil fuel,DIESEL,1000000.0,0.315,0.0797,0.21
Renewable,Biofuel,BIOETHANOL,1000000.0,0.0,0.111,0.316
Renewable,Biofuel,BIODIESEL,1000000.0,0.0,0.12,0.432
Non-renewable,Fossil fuel,LFO,1000000.0,0.312,0.0602,0.204
Non-renewable,Fossil fuel,GAS,1000000.0,0.267,0.0443,0.0608
Renewable,Biofuel,GAS_RE,1000000.0,0.0,0.118,0.269
Renewable,Biomass,WOOD,23400.0,0.0118,0.0328,0.0491
Renewable,Biomass,WET_BIOMASS,38900.0,0.0118,0.00576,0.0559
Non-renewable,Fossil fuel,COAL,33400.0,0.401,0.0177,0.121
Non-renewable,Other non-renewable,URANIUM,1000000.0,0.0039,0.00388,0.0434
Non-renewable,Other non-renewable,WASTE,17800.0,0.15,0.0231,0.0577
Non-renewable,Other non-renewable,H2,1000000.0,0.364,0.0875,0.083
Renewable,Biofuel,H2_RE,1000000.0,0.0,0.119,0.579
Non-renewable,Other non-renewable,AMMONIA,1000000.0,0.285,0.076,0.065
Non-renewable,Other non-renewable,METHANOL,1000000.0,0.35,0.082,0.0798
Renewable,Biofuel,AMMONIA_RE,1000000.0,0.0,0.0818,0.579
Renewable,Biofuel,METHANOL_RE,1000000.0,0.0,0.111,0.579
Export,Export,ELEC_EXPORT,1000000.0,0.0,0.0,0.0
Export,Export,CO2_EMISSIONS,1000000.0,0.0,0.0,0.0
Renewable,Non-biomass,RES_WIND,1000000.0,0.0,0.0,0.0
Renewable,Non-biomass,RES_SOLAR,1000000.0,0.0,0.0,0.0
Renewable,Non-biomass,RES_HYDRO,1000000.0,0.0,0.0,0.0
Renewable,Non-biomass,RES_GEO,1000000.0,0.0,0.0,0.0
Others,Others,CO2_ATM,1000000.0,0.0,0.0,0.0
Others,Others,CO2_INDUSTRY,0.0,0.0,0.0,0.0
Others,Others,CO2_CAPTURED,0.0,0.0,0.0,0.0
