;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;25625.54608;0.344142857;0.070598;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.072056382;0.25;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.06976235;0.27;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.118776497;0.25;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.12762115;0.27;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.052621601;0.26;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.037563644;0.2;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.127672424;0.2;
Renewable;Biomass;WOOD;23400;0.0118;0.031020822;0.39;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005442625;0.39;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.016601668;0.36;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.021818842;0.26;
Non-renewable;Other non-renewable;H2;1.00E+15;0.393463451;0.081905721;0;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.131650407;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.080396794;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.089220376;0.24570329;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.089108665;0;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.118776497;0.24570329;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
