Name	Used	Potential
ELECTRICITY	9817.719564	27600.000000
GASOLINE	0.016377	1000000.000000
DIESEL	0.098653	1000000.000000
BIOETHANOL	0.003909	1000000.000000
BIODIESEL	0.003238	1000000.000000
LFO	56333.658943	1000000.000000
GAS	227330.623192	1000000.000000
GAS_RE	0.000007	1000000.000000
WOOD	23400.086228	23400.000000
WET_BIOMASS	38900.142854	38900.000000
COAL	33400.010920	33400.000000
URANIUM	0.000000	1000000.000000
WASTE	17800.047245	17800.000000
H2	0.000013	1000000.000000
H2_RE	0.000045	1000000.000000
AMMONIA	10195.152987	1000000.000000
METHANOL	0.013922	1000000.000000
AMMONIA_RE	0.070225	1000000.000000
METHANOL_RE	0.003501	1000000.000000
ELEC_EXPORT	309.323978	1000000.000000
CO2_EMISSIONS	64808.381943	1000000.000000
RES_WIND	42216.214010	1000000.000000
RES_SOLAR	18596.609495	1000000.000000
RES_HYDRO	478.394750	1000000.000000
RES_GEO	0.000000	1000000.000000
CO2_ATM	0.001518	1000000.000000
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
