source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,50.30,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,4.19,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.08,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,0.92,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,2.58,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Methanol,MTO,51.34,Methanol,#CC0066,TWh
Heat HT,MTO,13.65,Heat HT,#DC143C,TWh
MTO,HVC,41.36,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Gas,Gas,97.04,Gas,#FFD700,TWh
Gas Prod,Gas sto.,31.85,GAS,#FFD700,TWh
Gas sto.,Gas,31.21,GAS,#FFD700,TWh
Gas Prod,Gas,-15.39,GAS,#FFD700,TWh
Gas,Mob public,5.82,GAS,#FFD700,TWh
Gas,Freight,4.05,GAS,#FFD700,TWh
Gas,Elec,49.32,GAS,#FFD700,TWh
Gas,CHP,53.84,GAS,#FFD700,TWh
Electricity,Elec,27.60,Electricity,#00BFFF,TWh
Wind,Elec,42.00,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,Boilers,19.21,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,16.34,Electricity,#00BFFF,TWh
Elec,Mob public,5.59,Electricity,#00BFFF,TWh
Elec,Freight,1.88,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.73,Electricity,#00BFFF,TWh
Elec,Curt.,1.02,Electricity,#00BFFF,TWh
Elec,Elec demand,90.85,Electricity,#00BFFF,TWh
Solar,Curt.,0.74,Solar,#FFFF00,TWh
Wind,Curt.,0.96,Wind,#27AE34,TWh
Elec,Storage,1.51,Electricity,#00BFFF,TWh
Storage,Elec demand,1.13,Electricity,#00BFFF,TWh
Elec,HPs,49.23,Electricity,#00BFFF,TWh
Elec,HT sto,5.93,Electricity,#00BFFF,TWh
HT sto,Heat HT,5.92,Heat HT,#DC143C,TWh
Elec,Heat HT,2.69,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,27.13,H2,#FF00FF,TWh
H2 prod,H2 sto.,1.14,H2,#FF00FF,TWh
H2 sto.,H2,0.99,H2,#FF00FF,TWh
H2 prod,H2,-1.14,H2,#FF00FF,TWh
H2,Mob priv,3.35,H2,#FF00FF,TWh
H2,Freight,23.65,H2,#FF00FF,TWh
CHP,Elec,23.46,Electricity,#00BFFF,TWh
CHP,Heat HT,24.53,Heat HT,#DC143C,TWh
HPs,Dec. sto,22.11,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,72.43,Heat LT,#FA8072,TWh
HPs,DHN,56.90,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,20.38,Heat LT,#FA8072,TWh
Boilers,Heat HT,30.91,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,35.44,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.89,Heat LT,#FA8072,TWh
DHN,DHN Sto,19.49,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,19.07,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
