source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Wood,Gasifi. to Methanol,23.40,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.47,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,5.12,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.42,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Oil,NSC,56.33,Naphtha,#8B008B,TWh
Elec,NSC,0.66,Electricity,#00BFFF,TWh
Heat HT,NSC,0.53,Heat HT,#DC143C,TWh
NSC,HVC,30.98,HVC,#00FFFF,TWh
Methanol,MTO,12.89,Methanol,#CC0066,TWh
Heat HT,MTO,3.43,Heat HT,#DC143C,TWh
MTO,HVC,10.38,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Gas,Gas,169.67,Gas,#FFD700,TWh
Gas Prod,Gas sto.,27.18,GAS,#FFD700,TWh
Gas sto.,Gas,26.64,GAS,#FFD700,TWh
Gas Prod,Gas,-10.73,GAS,#FFD700,TWh
Gas,Mob public,20.36,GAS,#FFD700,TWh
Gas,Freight,33.18,GAS,#FFD700,TWh
Gas,Elec,25.13,GAS,#FFD700,TWh
Gas,CHP,40.07,GAS,#FFD700,TWh
Gas,HPs,66.99,GAS,#FFD700,TWh
Electricity,Elec,25.49,Electricity,#00BFFF,TWh
Wind,Elec,41.63,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Coal,Boilers,21.11,Coal,#A0522D,TWh
Solar,Elec,43.35,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Imp. Oil,Oil,56.33,Oil,#8B008B,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,18.92,Electricity,#00BFFF,TWh
Elec,Mob public,2.05,Electricity,#00BFFF,TWh
Elec,Freight,1.88,Electricity,#00BFFF,TWh
Elec,Exp & Loss,6.78,Electricity,#00BFFF,TWh
Elec,Curt.,0.77,Electricity,#00BFFF,TWh
Elec,Elec demand,90.95,Electricity,#00BFFF,TWh
Solar,Curt.,1.30,Solar,#FFFF00,TWh
Wind,Curt.,1.33,Wind,#27AE34,TWh
Elec,Storage,1.38,Electricity,#00BFFF,TWh
Storage,Elec demand,1.03,Electricity,#00BFFF,TWh
Elec,HPs,14.12,Electricity,#00BFFF,TWh
Elec,HT sto,1.10,Electricity,#00BFFF,TWh
HT sto,Heat HT,1.10,Heat HT,#DC143C,TWh
Elec,Heat HT,3.40,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
CHP,Elec,17.47,Electricity,#00BFFF,TWh
CHP,Heat HT,18.26,Heat HT,#DC143C,TWh
HPs,Dec. sto,10.56,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,82.79,Heat LT,#FA8072,TWh
HPs,DHN,52.47,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,10.02,Heat LT,#FA8072,TWh
Boilers,Heat HT,31.60,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,38.67,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.88,Heat LT,#FA8072,TWh
DHN,DHN Sto,16.04,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,15.83,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
