source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,15.15,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,23.40,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.47,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,5.12,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,14.43,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
Oil,NSC,34.14,Naphtha,#8B008B,TWh
Elec,NSC,0.40,Electricity,#00BFFF,TWh
Heat HT,NSC,0.32,Heat HT,#DC143C,TWh
NSC,HVC,18.78,HVC,#00FFFF,TWh
Methanol,MTO,28.04,Methanol,#CC0066,TWh
Heat HT,MTO,7.45,Heat HT,#DC143C,TWh
MTO,HVC,22.59,HVC,#00FFFF,TWh
HVC,Non-energy demand,41.36,HVC,#00FFFF,TWh
Imp. Gas,Gas,154.74,Gas,#FFD700,TWh
Gas Prod,Gas sto.,27.84,GAS,#FFD700,TWh
Gas sto.,Gas,27.28,GAS,#FFD700,TWh
Gas Prod,Gas,-11.38,GAS,#FFD700,TWh
Gas,Mob public,20.36,GAS,#FFD700,TWh
Gas,Freight,33.18,GAS,#FFD700,TWh
Gas,Elec,36.20,GAS,#FFD700,TWh
Gas,CHP,81.05,GAS,#FFD700,TWh
Electricity,Elec,22.46,Electricity,#00BFFF,TWh
Wind,Elec,41.47,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.42,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Imp. Oil,Oil,34.14,Oil,#8B008B,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,18.92,Electricity,#00BFFF,TWh
Elec,Mob public,2.05,Electricity,#00BFFF,TWh
Elec,Freight,1.88,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.60,Electricity,#00BFFF,TWh
Elec,Curt.,1.60,Electricity,#00BFFF,TWh
Elec,Elec demand,90.81,Electricity,#00BFFF,TWh
Solar,Curt.,2.02,Solar,#FFFF00,TWh
Wind,Curt.,1.50,Wind,#27AE34,TWh
Elec,Storage,1.57,Electricity,#00BFFF,TWh
Storage,Elec demand,1.17,Electricity,#00BFFF,TWh
Elec,HPs,48.05,Electricity,#00BFFF,TWh
Elec,HT sto,5.71,Electricity,#00BFFF,TWh
HT sto,Heat HT,5.69,Heat HT,#DC143C,TWh
Elec,Heat HT,1.10,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
CHP,Elec,35.32,Electricity,#00BFFF,TWh
CHP,Heat HT,36.93,Heat HT,#DC143C,TWh
HPs,Dec. sto,21.64,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,72.76,Heat LT,#FA8072,TWh
HPs,DHN,52.69,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,20.04,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.46,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,36.63,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.89,Heat LT,#FA8072,TWh
DHN,DHN Sto,18.29,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,17.87,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,50.40,Heat HT,#DC143C,TWh
